Unnamed: 0,tweets,time,language,translated_tweets
36,Il n'y a pas 100'000 chauffeurs Uber et je ne suis pas sûr qu'un chauffeur Uber soit d'accord de venir sur un chantier. Vous semblez ne pas me lire comme il faut.,2022-10-24 17:31:12+00:00,"((0, 163, 'FRENCH', 'fr'),)","[{'translation_text': ""There are no 100'000 Uber drivers and I'm not sure a Uber driver would agree to come to a construction site.""}]"
37,Vous faites comment pour pousser les gens à travailler sur des chantiers ? Il y a 10'000 places ouvertes dans le bâtiment qui ne trouvent pas preneur !,2022-10-24 17:13:22+00:00,"((0, 153, 'FRENCH', 'fr'),)","[{'translation_text': ""How do you get people to work on construction sites? There are 10,000 open spaces in the building that don't find a tenant!""}]"
38,"Non, vous demander de former 100'000 qu'il est irréaliste de trouver. Ne transformez pas se que j'écris.",2022-10-24 16:40:17+00:00,"((0, 106, 'FRENCH', 'fr'),)","[{'translation_text': ""No, ask you to train 100,000 that it's unrealistic to find. Don't transform what I'm writing.""}]"
39,Il n'existe tout simplement pas 100'000 personnes que l'on peut former et envoyer sur les chantiers. Demander quelque chose d'irréaliste en se collant les mains au goudron n'est pas très constructif.,2022-10-24 11:26:28+00:00,"((0, 201, 'FRENCH', 'fr'),)","[{'translation_text': 'There is simply no 100,000 people that can be trained and sent to the construction sites. Asking for something unrealistic by sticking hands to the tar is not very constructive.'}]"
40,Et je n'ai pas parlé des encouragements aux énergies renouvelables. Faites des propositions concrètes et trouvez un élu pour porter votre proposition devant le parlement. Exiger de mettre plus d'argent sur la table ne réglera pas le problème.,2022-10-24 05:05:45+00:00,"((0, 248, 'FRENCH', 'fr'),)","[{'translation_text': 'And I did not talk about encouraging renewable energies, making concrete proposals and finding an elected representative to bring your proposal to Parliament. Requireting to put more money on the table will not solve the problem.'}]"
41,"2 millards de soutien pour changer les chauffages, déjà 2.7 millards de soutien attribués dans les programmes bâtiment. Ne dites pas que rien ne se passe.",2022-10-24 04:51:12+00:00,"((0, 158, 'FRENCH', 'fr'),)","[{'translation_text': ""Two billiards of support to change the heating, already 2.7 billiards of support allocated in the building programs. Don't say nothing happens.""}]"
42,Quelles sont vos propositions d'incitations ? Cela permettrait déjà de combler le manque de 10'000 actuel.,2022-10-24 04:45:33+00:00,"((0, 108, 'FRENCH', 'fr'),)","[{'translation_text': 'What are your incentive proposals? This would already fill the current shortfall of 10,000.'}]"
43,Trouver 100'000 personnes qui soient prêtes à travailler dans le bâtiment. Plus de 10'000 places ouvertes dans le domaine ne trouve actuellement pas preneur.,2022-10-24 04:30:11+00:00,"((0, 160, 'FRENCH', 'fr'),)","[{'translation_text': ""Find 100'000 people who are ready to work in the building. More than 10,000 open places in the field currently do not find takers.""}]"
44,"Il n'existe pas, sur le marché du travail suisse, 100'000 personnes prêtes à travailler dans le bâtiment. C'est plus une exigence irréaliste qu'une proposition.",2022-10-24 03:47:03+00:00,"((0, 165, 'FRENCH', 'fr'),)","[{'translation_text': 'There are no 100,000 people on the Swiss labour market who are ready to work in the building industry. This is more an unrealistic requirement than a proposal.'}]"
45,"Bref, je vais continuer à chercher des solutions, je vous laisse l'activité de vous coller les mains au bitume.",2022-10-23 19:25:55+00:00,"((0, 113, 'FRENCH', 'fr'),)","[{'translation_text': ""Anyway, I'm going to keep looking for solutions, I'm going to let you work on sticking your hands to bitumen.""}]"
46,Un moyen démocratique ? Quel article de la constitution ou quel article de droit international octroie la validité démocratique de la désobéissance civile ?,2022-10-23 19:22:33+00:00,"((0, 161, 'Unknown', 'un'),)",NA
47,Je regarde un certain nombre de documentaire et je lis un certain nombre de document mais je ne le publie pas. Vous pouvez me conseiller des choses mais le faire deux fous n'est pas nécessaire.,2022-10-23 19:19:52+00:00,"((0, 99, 'Unknown', 'un'), (99, 95, 'FRENCH', 'fr'))",NA
48,Vous voulez un rapport circonstancié de ce que je lis et ce que je regarde ?,2022-10-23 18:28:16+00:00,"((0, 77, 'FRENCH', 'fr'),)","[{'translation_text': ""You want a detailed report of what I'm reading and what I'm looking at?""}]"
49,"Si vous dites que seul le système est responsable, vous déresponsabiliser le comportement de l'individu...vous n'aurez jamais le résultat escompté.",2022-10-23 18:27:03+00:00,"((0, 151, 'FRENCH', 'fr'),)","[{'translation_text': ""If you say that only the system is responsible, you take responsibility for the individual's behavior... you will never have the desired result.""}]"
50,Ce n'est pas une notion de péché originel...ce sont les analyses scientifiques qui nous montre que c'est l'activité humaine. Vous n'étiez pas au courant ?,2022-10-23 17:56:44+00:00,"((0, 158, 'FRENCH', 'fr'),)","[{'translation_text': ""It's not a notion of original sin... it's the scientific analysis that shows us that it's human activity.""}]"
51,En l'occurrence c'est l'être humain...,2022-10-23 17:03:54+00:00,"((0, 39, 'FRENCH', 'fr'),)",[{'translation_text': 'In this case it is the human being...'}]
52,Je ne pense pas que cela va aider à la mise en place de solutions...,2022-10-23 17:01:33+00:00,"((0, 69, 'Unknown', 'un'),)",NA
53,«Le capitalisme n’est pas la cause de la crise écologique»,2022-10-23 11:13:36+00:00,"((0, 63, 'FRENCH', 'fr'),)","[{'translation_text': '""Capitalism is not the cause of the ecological crisis""'}]"
54,"Merci pour votre pédanterie, vous passez du discours politique au jugement sur les personnes...dérive glissante. Bonne soirée",2022-10-22 18:06:22+00:00,"((0, 128, 'FRENCH', 'fr'),)","[{'translation_text': 'Thank you for your pedantry, you move from political discourse to judgment on people... slippery drift.'}]"
55,"Il y a un espace conséquent entre l'étatisme socialiste (voir communiste) et l'anarchisme...et la désobéissance civile, vous la placez où ?",2022-10-22 17:40:23+00:00,"((0, 144, 'FRENCH', 'fr'),)","[{'translation_text': 'There is a consistent space between socialist stateism (see Communist) and anarchism... and civil disobedience, where do you place it?'}]"
56,Je ne me considère pas comme néo libéral.,2022-10-22 17:33:55+00:00,"((0, 44, 'FRENCH', 'fr'),)",[{'translation_text': 'I do not consider myself a neoliberal.'}]
57,L'idéologie étatiste qui laisse croire que la régulation à outrance va régler tous les problèmes n'a jamais fait ses preuves.,2022-10-22 17:23:37+00:00,"((0, 131, 'FRENCH', 'fr'),)",[{'translation_text': 'The statist ideology that suggests that overregulation will solve all the problems has never proved its worth.'}]
58,"2/2
L'ouverture du marché permettra aussi la création de groupement de producteurs/consommateurs locaux à l'avantage des PME et des ménages !",2022-10-22 16:22:30+00:00,"((0, 145, 'FRENCH', 'fr'),)",[{'translation_text': '2/2 The opening up of the market will also allow the creation of a group of local producers/consumers to the benefit of SMEs and households!'}]
59,"1/2
Si le développement des énergies renouvelables est assez rapide le marché se corrigera rapidement. Nous avons assez dormi, il faut agir. La pénurie n'est pas due au marché !",2022-10-22 16:21:12+00:00,"((0, 182, 'FRENCH', 'fr'),)","[{'translation_text': '1/2 If the development of renewable energies is fast enough the market will be corrected quickly. We have slept enough, we must act. The shortage is not due to the market!'}]"
60,"Dans la version longue:
""La libéralisation du marché de l'électricité est une condition pour une pleine participation de la Suisse au marché intérieur européen de l'électricité""
Il est clair que nous devons aller aussi loin que nécessaire pour participer au marché européen.",2022-10-22 15:08:26+00:00,"((0, 286, 'FRENCH', 'fr'),)","[{'translation_text': 'In the long version: ""The liberalisation of the electricity market is a condition for Switzerland\'s full participation in the European internal electricity market"" It is clear that we must go as far as is necessary to participate in the European market.'}]"
61,"Les 

 sont orientés solutions et garde un élan d'optimisme. Il est temps de se retrousser les manches.
créateursdavenir ecologiequifaitenvie aucoeurdeleurope",2022-10-22 10:13:17+00:00,"((0, 161, 'FRENCH', 'fr'),)","[{'translation_text': ""They are oriented solutions and keep a momentum of optimism. It's time to roll up the sleeves. creators of the future ecology that envys the heart of their hearts""}]"
62,"«Le Conseil fédéral est représentatif de ce que la population veut et des forces politiques en présence, embraye François Pointet (PVL/VD). Si l’on veut changer cela, il faut d’abord convaincre les gens d’élire différemment.»",2022-10-14 09:57:26+00:00,"((0, 240, 'FRENCH', 'fr'),)","[{'translation_text': '""The Federal Council is representative of what the population wants and of the political forces involved,"" says François Pointet (PVL/VD). ""If we want to change this, we must first convince people to delect differently.""'}]"
63,Nous ne sommes visiblement pas sorti de l'auberge...et si les  et l'  se mettaient sérieusement à travailler ensemble pour faire avancer cette histoire !,2022-10-11 09:09:57+00:00,"((0, 155, 'FRENCH', 'fr'),)","[{'translation_text': ""We obviously didn't get out of the inn...and if they and he were seriously working together to advance this story!""}]"
64,"Il n'y a pas qu'une seule urgence, si nous ne formons pas des personnes rompues à la digitalisation, impossible par exemple de mettre en place un réseau électrique résistant à la production décentralisée.",2022-10-06 10:59:31+00:00,"((0, 211, 'FRENCH', 'fr'),)","[{'translation_text': 'There is not only one emergency, if we do not train people who are broken to digitalisation, for example, we cannot set up an electricity grid that is resistant to decentralised production.'}]"
65,"C'est bien cela le problème, la plupart des digitals natives comme vous dites sont des utilisateurs lambdas avec tout ce que cela comporte comme problèmes. Suspendre l'éducation numérique n'est pas la solution!",2022-10-06 10:57:26+00:00,"((0, 214, 'FRENCH', 'fr'),)","[{'translation_text': ""That's the problem, most native digitals as you say are lambdas users with all that this involves as problems. Suspend digital education is not the solution!""}]"
66,"Pour régler le problème d'émissions de CO2 des bâtiments, il faut isoler, changer le chauffage (par exemple PAC) et poser des panneaux solaires pour compenser l'augmentation de consommation électrique. Vous ne regarder, par facilité, qu'une partie du problème.",2022-10-06 10:21:03+00:00,"((0, 267, 'FRENCH', 'fr'),)","[{'translation_text': 'To solve the problem of CO2 emissions from buildings, it is necessary to isolate, change the heating (e.g. CAP) and place solar panels to compensate for the increase in electricity consumption. You only look, by ease, at part of the problem.'}]"
67,"Il est vrai que nous ne sommes pas dans l'urgence et que nous pouvons continuer, sans craintes, à former des analphabètes du numérique...
  SUD education",2022-10-06 10:16:54+00:00,"((0, 156, 'FRENCH', 'fr'),)","[{'translation_text': 'It is true that we are not in an emergency and that we can continue, without fear, to form illiterates of digital... SUD education'}]"
68,"Remplacer les énergies fossiles par du renouvelable est aussi une partie de la solution...et si votre stratégie est d'exiger des solutions, sans en proposer, et de rejeter tout ce qui vient, c'est loin d'être constructif!
Et votre pédanterie me fait sourire...",2022-10-06 10:10:54+00:00,"((0, 264, 'FRENCH', 'fr'),)","[{'translation_text': 'Replacing fossil fuels with renewables is also part of the solution...and if your strategy is to demand solutions, without proposing them, and to reject everything that comes, it is far from being constructive! And your pedantry makes me smile...'}]"
69,"La conscience c'est bien, mais les votes au parlement c'est plus difficile...évidemment qu'on y travaille et que le  est parfois (pas toujours) un bon partenaire.",2022-10-06 06:29:51+00:00,"((0, 163, 'FRENCH', 'fr'),)","[{'translation_text': 'Consciousness is good, but voting in parliament is more difficult... obviously that we are working on it and that sometimes (not always) is a good partner.'}]"
70,Dès 2024 il y aura la possibilité de faire un CFC dans le domaine...,2022-10-06 05:15:03+00:00,"((0, 70, 'FRENCH', 'fr'),)",[{'translation_text': 'By 2024 there will be the possibility to make an CFC in the field...'}]
71,"Je connais mes devoirs, participez à la recherche de solutions plutôt que de vous coller les mains à la route.",2022-10-05 06:34:40+00:00,"((0, 113, 'FRENCH', 'fr'),)","[{'translation_text': 'I know my homework, participate in the search for solutions rather than stick your hands to the road.'}]"
72,C'est malhonnête de me rendre responsable des mensonges des autres !,2022-10-05 06:26:39+00:00,"((0, 69, 'FRENCH', 'fr'),)","[{'translation_text': ""It's dishonest to be responsible for others' lies!""}]"
73,"Je le sais, je le dis, on ne fait pas boire un âne qui n'a pas soif.",2022-10-05 06:15:00+00:00,"((0, 69, 'FRENCH', 'fr'),)","[{'translation_text': ""I know, I say, we don't drink a donkey that's not thirsty.""}]"
74,"Je ne suis ni L'USAM, ni le TCS, mes liens d'intérêt sont publics. Pour information, ce sont des activistes du climat qui ont été décisifs dans le rejet de la loi CO2 (au vu du résultat serré), 3 ans de perdu.",2022-10-05 06:09:29+00:00,"((0, 216, 'FRENCH', 'fr'),)","[{'translation_text': 'I am neither the USAM nor the TCS, my bonds of interest are public. For information, they are climate activists who were decisive in rejecting the CO2 law (in view of the tight result), three years lost.'}]"
75,"Nous construisons des solutions et la loi CO2 a été refusée, en particulier, par des activistes du climat, nous avons perdu du temps. Se coller les mains sur la route n'amènera pas 100'000 travailleurs supplémentaires dans le bâtiment.",2022-10-05 05:48:15+00:00,"((0, 241, 'FRENCH', 'fr'),)","[{'translation_text': 'We are building solutions and the CO2 law has been denied, in particular, by climate activists, we have wasted time. Sticking hands on the road will not bring an additional 100,000 workers into the building.'}]"
76,"C'est vrai que le faut qu'on et le y a cas à de l'avenir avec vous, les solutions non.",2022-10-05 05:39:02+00:00,"((0, 87, 'FRENCH', 'fr'),)","[{'translation_text': ""It's true that we need to, and we need to, in the future with you, the solutions are not.""}]"
77,"Pour rappel, le peuple fini par décider et j'espère qu'il n'y aura pas d'activistes du climat pour combattre le contre projet à l'initiative des glaciers comme c'était le cas pour la loi CO2.",2022-10-05 05:30:50+00:00,"((0, 195, 'FRENCH', 'fr'),)","[{'translation_text': 'As a reminder, the people eventually decide and I hope that there will be no climate activists to fight against the counter-project at the initiative of glaciers as was the case with the CO2 law.'}]"
78,Dites moi simplement comment convaincre 100'000 personnes de se reconvertir dans le bâtiment ? Alors qu'actuellement il y a 100'000 postes de travail vacants dont 15'000 dans la construction.,2022-10-05 05:29:02+00:00,"((0, 192, 'FRENCH', 'fr'),)","[{'translation_text': ""Just tell me how to convince 100'000 people to convert to the building? While currently there are 100'000 job vacancies including 15'000 in construction.""}]"
79,"En bref, à part scander vous n'avez pas de solution concrète.",2022-10-05 05:12:29+00:00,"((0, 63, 'FRENCH', 'fr'),)","[{'translation_text': 'In short, apart from scanning you have no concrete solution.'}]"
80,4 millards pour former 100'000 personnes...on les trouve où les 100'000 personnes prêtes à être formées dans des métiers du bâtiment ?,2022-10-04 10:22:21+00:00,"((0, 141, 'FRENCH', 'fr'),)","[{'translation_text': 'Four billiards to train 100,000 people... we find them where the 100,000 people ready to be trained in building trades?'}]"
82,"Sous le titre ""La Suisse ne pourra pas prendre des sanctions de manière autonome"", ce serait bien d'être plus précis, les  ont aussi soutenu le projet en vote final.",2022-09-30 14:48:22+00:00,"((0, 168, 'FRENCH', 'fr'),)","[{'translation_text': 'Under the title ""Switzerland will not be able to take sanctions autonomously"", it would be good to be more precise, they also supported the draft by final vote.'}]"
83,"Pour revenir sur la sphère privée. J'ai, dans une interpellation, demandé au CF s'il était prêt à renforcer la sensibilisation au respect de la sphère privée d'autrui dans l'utilisation des réseau sociaux...
parlCH",2022-09-30 08:25:07+00:00,"((0, 223, 'FRENCH', 'fr'),)","[{'translation_text': 'To return to the private sphere. I, in an inquiry, asked the CF if it was prepared to increase awareness of respect for the private sphere of others in the use of social networks... parlCH'}]"
84,Bon...mon postulat est combattu par un collègue  plus qu'à préparer la défense en plénum...,2022-09-30 07:04:40+00:00,"((0, 96, 'FRENCH', 'fr'),)",[{'translation_text': 'Well... my postulate is fought by a colleague more than preparing the defense in plenum...'}]
85,"C'est très serré, oui, mais il est douteux de prétendre que seul un petit nombre ont décidé...il y a 1'443'075 qui ont déposé un oui!",2022-09-26 05:06:13+00:00,"((0, 140, 'FRENCH', 'fr'),)","[{'translation_text': ""It's very tight, yes, but it's doubtful to claim that only a small number have decided...there are 1'443'075 who have filed a yes!""}]"
87,"L'impôt anticipé a perdu son caractère préventif avec l'échange automatique de renseignements.  Pour une place financière suisse qui soit concurrentielle, faites comme ma collègue  et moi, votez oui à la réforme de l'impôt anticipé le 25 septembre .",2022-09-20 09:43:00+00:00,"((0, 260, 'FRENCH', 'fr'),)","[{'translation_text': 'The advance tax has lost its preventive character with the automatic exchange of information. For a Swiss financial center that is competitive, do like my colleague and I, vote yes to the reform of the tax anticipated on September 25 .'}]"
88,"2/2 parlCH

On obtient comme réponse:
""Il n'existe pas de chiffres sur les bécasses tuées par les éoliennes.""
On marche vraiment sur la tête !!!
onmarchesurlatete",2022-09-20 08:53:03+00:00,"((0, 167, 'FRENCH', 'fr'),)","[{'translation_text': '2/2 parlCH We get as an answer: ""There are no figures on the woodcocks killed by the wind turbines."" We really walk on the head!!! onwalking onlatete'}]"
89,"1/2 parlCH
Quand on demande au CF:
""Le Conseil fédéral est-il conscient que la chasse à la bécasse des bois tue plus que les éoliennes ?""",2022-09-20 08:52:24+00:00,"((0, 142, 'FRENCH', 'fr'),)","[{'translation_text': '1/2 parlCH When asked of the CF: ""Is the Federal Council aware that woodcock hunting kills more than wind turbines?""'}]"
90,"Suite à une de mes questions, le constat:
la situation n'est pas simple et équiper son enfant d'une montre connectée a un impact sur la sphère privée de tiers.
parlCH",2022-09-20 04:19:24+00:00,"((0, 171, 'FRENCH', 'fr'),)","[{'translation_text': 'Following one of my questions, the observation: the situation is not simple and equipping your child with a connected watch has an impact on the private sphere of third parties. parlCH'}]"
91,Correcte et je me bats contre les UIOM pour réduire ces scories car on en a les moyens (voir plusieurs de mes dépôts). Mais comparer du type D avec du nucléaire c'est osé aussi !,2022-09-19 07:01:09+00:00,"((0, 183, 'FRENCH', 'fr'),)",[{'translation_text': 'Correct and I fight the UIOMs to reduce these slags because we have the means (see several of my deposits).But comparing type D with nuclear is dared too!'}]
92,Comparer les déchets nucléaires aux déchets ménagers...il fallait oser  !,2022-09-19 06:50:27+00:00,"((0, 77, 'FRENCH', 'fr'),)",[{'translation_text': 'Comparing nuclear waste with household waste...you had to dare!'}]
93,Moi je vois surtout que nous ne sommes pas très concurrentiel (extrait du message du CF):,2022-09-18 16:03:55+00:00,"((0, 90, 'FRENCH', 'fr'),)",[{'translation_text': 'I see above all that we are not very competitive (extract from the CF message):'}]
94,"Je vous laisse consulter le message du CF sur le sujet, le site de la conf sur les votations, le site des opposants et le site des défenseurs du projet. Vous devriez avoir assez de matériel.",2022-09-18 14:40:55+00:00,"((0, 192, 'FRENCH', 'fr'),)","[{'translation_text': ""I'll let you see the CF's message on the subject, the website of the voting conference, the website of the opponents and the website of the defenders of the project. You should have enough material.""}]"
95,"Pas si simple, actuellement la force du franc nous permet de mieux maîtriser l'inflation que les autres pays, et cela reste dans les mains de la BNS. Il ne faut pas oublier que les investisseurs suisses sont aussi attiré pas les marchés obligataires étrangers plus favorable.",2022-09-18 08:35:42+00:00,"((0, 279, 'FRENCH', 'fr'),)","[{'translation_text': 'Not so simple, at present the strength of the franc allows us to control inflation better than the other countries, and that remains in the hands of the BNS. We must not forget that Swiss investors are also not attracted to the more favourable foreign bond markets.'}]"
97,"Cet argument concerne la taille du marché des obligations en Suisse...les investisseurs quittent le marché Suisse pour aller sur des marchés obligataires sans impôts anticipé, donc il y a moins d'investisseurs pour acheter des obligations émises par les collectivités publiques.",2022-09-18 07:20:45+00:00,"((0, 285, 'FRENCH', 'fr'),)","[{'translation_text': 'This argument concerns the size of the bond market in Switzerland...investors leave the Swiss market to go to bond markets without advance taxes, so there are fewer investors to buy bonds issued by public authorities.'}]"
98,"La réforme de l'impôt anticipé bénéfice aussi aux collectivités publiques: Confédération, Cantons, Communes, Hôpitaux, Transports, etc., car le service public se finance aussi en émettant des obligations ! La réforme bénéficie en fait à toute la population.",2022-09-16 11:18:00+00:00,"((0, 271, 'FRENCH', 'fr'),)","[{'translation_text': 'The reform of the advance tax also benefits the public authorities: Confederation, Cantons, Municipalities, Hospitals, Transport, etc., because the public service is also financed by issuing obligations! The reform actually benefits the entire population.'}]"
100,Oui version A.,2022-09-15 11:00:15+00:00,"((0, 14, 'Unknown', 'un'),)",NA
104,"Voilà que le Conseil fédéral communique à l'aide d'énigmes !
La  politique de neutralité est bonne telle que décrite en 1993, mais nous continuons à y réfléchir !!! 
Il faut des réponses modernes aux défis actuels, aussi en matière de politique de neutralité.
CF parlCH",2022-09-07 17:07:26+00:00,"((0, 283, 'FRENCH', 'fr'),)","[{'translation_text': 'Now the Federal Council communicates with riddles! Neutrality policy is good as described in 1993, but we continue to think about it!!! Modern responses to the current challenges, also in terms of neutrality policy, are needed. CF parlCH'}]"
105,Youpi...,2022-09-03 18:05:53+00:00,"((0, 8, 'Unknown', 'un'),)",NA
107,Jolie course et jolie victoire,2022-08-26 19:16:14+00:00,"((0, 30, 'FRENCH', 'fr'),)",[{'translation_text': 'Nice race and nice victory'}]
108,Journée d'inauguration,2022-08-22 10:40:06+00:00,"((0, 23, 'Unknown', 'un'),)",NA
109,"Le CF propose d'accepter mon postulat sur le coût total de l'armée...
parlCH",2022-08-20 16:01:37+00:00,"((0, 78, 'FRENCH', 'fr'),)",[{'translation_text': 'The CF proposes to accept my postulate on the total cost of the army...'}]
113,Pfff...,2022-08-19 07:07:21+00:00,"((0, 7, 'Unknown', 'un'),)",NA
