,tweets,time,language,translated_tweets
10,Wer bringt Ihnen Rechtschreibung bei?,2022-12-09 06:06:59+00:00,"((0, 37, 'GERMAN', 'de'),)",Who's teaching you spelling?
11,"Genau - bei Frau NR Badran ist jede Unflätigkeit als Humor zu werten - ein SVP-ler, der Gleiches über Frau NR Badran schriebe, würde von Ihnen und den Medien gejagt und müsste zurücktreten …",2022-12-09 05:40:09+00:00,"((0, 197, 'GERMAN', 'de'),)","Precisely - with Mrs. NR Badran every lack of clarity is to be regarded as a humor - an SVP-ler who wrote the same about Mrs. NR Badran, would be chased by you and the media and would have to step back ..."
12,Wann bitte wurde ich von welcher Instanz wegen Ehrverletzung verurteilt ?,2022-12-08 07:27:09+00:00,"((0, 73, 'GERMAN', 'de'),)","When, please, was I convicted by what instance of dishonor?"
13,a) ich wurde nie wegen Betrugs verurteilt b) ich verdiene mein Leben nicht mit dem NR-Mandat,2022-12-06 12:21:57+00:00,"((0, 92, 'GERMAN', 'de'),)",a) I was never convicted of fraud b) I don't deserve my life with the NR mandate
14,An Ihrer Stelle würde ich diesen völlig tatsachenwidrigen Beitrag löschen!,2022-12-06 11:21:23+00:00,"((0, 77, 'GERMAN', 'de'),)","If I were you, I'd delete this completely unsubstantiated post!"
15,Also Sie kennen die Rechnung offensichtlich nicht - sonst hätten Sie wenigstens den Namen unserer Musikgesellschaft richtig benannt,2022-12-06 07:39:47+00:00,"((0, 132, 'GERMAN', 'de'),)",So you obviously don't know the bill - otherwise you would at least have named the name of our music company correctly
16,Woher kennen Sie die Rechnung unserer Musikgesellschaft?,2022-12-06 07:38:47+00:00,"((0, 56, 'GERMAN', 'de'),)",How do you know the bill of our music company?
17,"Da hast Du für einmal völlig recht - unglaublich, was der von Euch hochgezüchtete Staat uns alles vorschreiben will …",2022-12-06 07:26:38+00:00,"((0, 122, 'GERMAN', 'de'),)",You are absolutely right for once - incredible what the state you raised wants to prescribe for us ...
18,"Kulturhaus  - es beweist, das Sozialisten wie    nur mit unseren Steuergeldern überleben - sobald sie selbst etwas machen sollten, sind sie überfordert und gehen konkurs …",2022-12-06 07:25:15+00:00,"((0, 175, 'GERMAN', 'de'),)","House of Culture - it proves that socialists survive like only with our taxpayers' money - as soon as they should do something themselves, they are overwhelmed and go concur ..."
19,Das ist ja ein schönes Früchtchen …   IchHabeMitgemacht,2022-12-05 09:40:23+00:00,"((0, 59, 'GERMAN', 'de'),)",That's a nice fruit... I've been with you.
20,Heute bekommen sie Buchpreise für ihr fäkal-erotisches Geschreibsel ...,2022-12-03 15:21:43+00:00,"((0, 73, 'GERMAN', 'de'),)",Today they get book prices for their fecal-erotic writing ...
21,"Schaut mal nach draussen - dunkel und windstill ... Woher nehmen wohl die Flatterstrom-Fans in diesen Tagen den Strom, um ihre E-Autos zu laden?",2022-12-03 15:19:46+00:00,"((0, 144, 'GERMAN', 'de'),)",Look outside - dark and still ... Where do the flutter-current fans take the current these days to charge their e-cars?
22,Oder haben Sie etwas Mühe mit der Rechtschreibung?,2022-12-03 14:16:36+00:00,"((0, 51, 'GERMAN', 'de'),)",Or do you have some trouble spelling?
23,"LGBTQI, Woke-Wahnsinn, Gendersternchen, Klimachaoten-Kleber, Strommangel usw. Wie lange machen wir – die schweigende Mehrheit – dies noch mit? Wann endlich widersetzen wir uns diesem Irrsinn und kehren zu den Tugenden des freien, rechtschaffenen Bürgertums zurück?",2022-12-03 08:26:37+00:00,"((0, 270, 'GERMAN', 'de'),)","LGBTQI, woke madness, gender stars, climate chaos glue, lack of electricity, etc. How long do we – the silent majority – continue to do so? When do we finally oppose this madness and return to the virtues of free, righteous citizenship?"
24,"Linke Frauen schneiden sich hierzulande demonstrativ vor den Medien die ungepflegten Haare ab, um gegen die Kopftuchpflicht im Iran zu demonstrieren – kämpfen in der Schweiz aber gegen das Verhüllungsverbot…",2022-12-02 20:59:09+00:00,"((0, 213, 'GERMAN', 'de'),)",Left women in this country are demonstratively cutting off their unkempt hair in front of the media to demonstrate against the headscarf duty in Iran – but fighting in Switzerland against the cover-up ban...
25,Das ideale Weihnachtsgeschenk für den Chaoten-Nachwuchs …,2022-11-30 17:50:54+00:00,"((0, 60, 'GERMAN', 'de'),)",The ideal Christmas gift for the young Chaoten ...
26,Das ist die Toleranz der Linken …,2022-11-30 14:30:18+00:00,"((0, 35, 'GERMAN', 'de'),)",This is the tolerance of the left ...
27,Männliche Wählerinnen und Wähler 🤣🤣,2022-11-27 06:53:24+00:00,"((0, 44, 'GERMAN', 'de'),)",Male voters
28,Anonymer Feigling - genau das Gegenteil ist wahr!,2022-11-22 21:56:59+00:00,"((0, 49, 'GERMAN', 'de'),)",Anonymous coward - exactly the opposite is true!
29,"Wussten Sie: 
Jeder 3. Afrikaner in der Schweiz lebt von Sozialhilfe!",2022-11-22 13:08:15+00:00,"((0, 69, 'GERMAN', 'de'),)",Did you know: Every third African in Switzerland lives on social assistance!
30,"Lernen Sie doch bitte zuerst bitte Deutsch, bevor Sie hier unqualifiziert rumlärmen …",2022-11-21 19:51:24+00:00,"((0, 88, 'GERMAN', 'de'),)","Please learn German first, before you come here unqualified ..."
31,Aber selbstverständlich würde ich es ihr direkt ins Gesicht sagen! Diese Frau trägt zum Ruin Deutschlands bei!,2022-11-21 19:46:07+00:00,"((0, 113, 'GERMAN', 'de'),)",But of course I would tell her right in the face! This woman contributes to the ruin of Germany!
32,Und so eine Pfeife darf in D mitregieren … aber sie fällt ja bei der rotgrünen Kindertruppe nicht mal negativ auf,2022-11-21 05:26:20+00:00,"((0, 117, 'GERMAN', 'de'),)",And such a pipe may be involved in D ... but it does not even notice negatively with the red-green children's troupe
33,Ich fordere die Abschaffung der derzeitigen deutschen Regierung !,2022-11-16 06:09:55+00:00,"((0, 65, 'GERMAN', 'de'),)",I call for the abolition of the current German government !
34,Jetzt nur nicht noch mehr Sozialprogramme - sondern endlich konsequentes Bestrafen und anschliessendes Ausschaffen dieser nicht anpassungsfähigen Migranten!,2022-11-15 06:00:51+00:00,"((0, 157, 'GERMAN', 'de'),)",Now only not more social programs - but finally consistent punishment and subsequent elimination of these non-adaptable migrants!
35,Tja … einige Spendengelder und auch Waffenlieferungen dürften abgezweigt worden sein …,2022-11-14 20:11:41+00:00,"((0, 91, 'GERMAN', 'de'),)",Well ... some donations and also weapons deliveries may have been diverted ...
36,Stimmt! Auch hier besteht Nachholbedarf …,2022-11-14 18:45:03+00:00,"((0, 43, 'GERMAN', 'de'),)","That's right! Here, too, there is a need for catching up ..."
37,"Nun, es musste inzwischen zugegeben werden, dass die Geschichte mit der Nicht-Ansteckbarkeit von Geimpften ins Reich der Märchen gehört - allerdings ein sehr, sehr teures Märchen …",2022-11-14 14:13:25+00:00,"((0, 185, 'GERMAN', 'de'),)","Well, it had to be admitted that the story of the non-contagiousness of vaccinated people belongs to the realm of fairy tales - but a very, very expensive fairy tale ..."
38,Habe ich etwas übersehen - oder hat sich  tatsächlich noch nicht für diese ungeheure Aussage entschuldigt?,2022-11-14 10:17:54+00:00,"((0, 109, 'GERMAN', 'de'),)",Have I overlooked anything - or has not actually apologized for this tremendous statement?
39,"Da bin ich mal gespannt, wenn  gewählt würde … bei der  geht Geschlecht offenbar über Fähigkeit … sieht man ja beim amtierenden Personal …",2022-11-05 15:21:20+00:00,"((0, 148, 'GERMAN', 'de'),)","I'm curious, if elected ... in which sex obviously goes beyond ability ... you can see with the acting staff ..."
40,Bei der Beurteilung der Zauberformel immer daran denken: Die CVP  stellt mit dem Bundeskanzler faktisch den 8. Bundesrat und ist somit komplett übervertreten!,2022-11-05 15:12:27+00:00,"((0, 159, 'GERMAN', 'de'),)","When assessing the magic formula, remember that the CVP, together with the Federal Chancellor, is in fact the 8th Federal Council and is therefore completely overrepresented!"
41,Als Bundesrat  ein „Es“ ausschloss: Riesengeheule - wenn die  gleich „Es“ und „Ihn“ ausschliessen: Grosse Akzeptanz …,2022-11-05 06:42:19+00:00,"((0, 131, 'GERMAN', 'de'),)","As Federal Council a ""It"" excluded: giant howl - if the immediately ""It"" and ""It"" excluded: great acceptance ..."
42,Bei dieser Frauenauswahl der  bleibt nur eine Lösung: 75.— und Daniela Jositsch kann übernehmen … bundesratswahlen,2022-11-04 10:46:35+00:00,"((0, 120, 'GERMAN', 'de'),)",In this women's choice there remains only one solution: 75.— and Daniela Jositsch can take over ... federal elections
43,Diese Person ist allerdings sehr massgebend und einer der führenden Köpfe dieser Chaoten!,2022-11-04 08:28:57+00:00,"((0, 91, 'GERMAN', 'de'),)","This person, however, is very decisive and one of the leading minds of these Chaoten!"
44,Die Klimachaoten gehen tatsächlich über Leichen - und es ist ihnen sogar egal …,2022-11-04 07:12:58+00:00,"((0, 83, 'GERMAN', 'de'),)",The climate chaos actually goes over bodies - and they don't even care...
45,"Sie hatten die Gelegenheit - die Gerichte urteilen härter, wenn man die Chance auf Löschung nicht wahrnimmt …",2022-11-02 17:21:46+00:00,"((0, 113, 'GERMAN', 'de'),)",They had the opportunity - the courts judge harder if one does not perceive the chance of deletion ...
46,"… komm, Alain - gib Dir einen Schupf …",2022-11-02 17:05:38+00:00,"((0, 42, 'GERMAN', 'de'),)","... come on, Alain - give yourself a shoe..."
47,Meine Lösung: Neben seinen Ohren ablassen - er wird den Platz räumen …,2022-11-02 11:04:47+00:00,"((0, 74, 'GERMAN', 'de'),)",My solution: Let off his ears - he will clear the place ...
48,Dann beginnen Sie mal zu sparen … das wird richtig teuer!,2022-11-02 10:29:14+00:00,"((0, 59, 'GERMAN', 'de'),)",Then start saving ... this will be really expensive!
49,Ich gebe Ihnen Zeit bis heute 16.00 um diesen Tweet zu löschen - ansonsten reiche ich Strafanzeige gegen Sie ein!,2022-11-02 10:12:09+00:00,"((0, 114, 'GERMAN', 'de'),)",I'll give you time until 16.00 today to delete this tweet - otherwise I'll file a lawsuit against you!
50,Er bestreitet ja gar nicht den Klimawandel …,2022-11-02 08:24:30+00:00,"((0, 46, 'GERMAN', 'de'),)",He doesn't deny climate change at all...
51,"Liebe Klimachaoten und -chaotinnen - mit diesem Tweet habt Ihr Euch endgültig entlarvt - Ihr geht über Leichen - danke, wir haben verstanden!",2022-11-02 08:18:46+00:00,"((0, 143, 'GERMAN', 'de'),)","Dear Climate Chaotes and Chaotes - with this tweet you have finally exposed yourself - you go over corpses - thank you, we understand!"
52,"„Nennen Sie mir ein Land, in dem Journalisten und Politiker sich vertragen, und ich sage Ihnen, das ist keine Demokratie.“
– Hugh Greene (1910-1987), britischer Publizist und einer der Gründerväter des deutschen öffentlich-rechtlichen Rundfunks",2022-11-01 18:11:33+00:00,"((0, 253, 'GERMAN', 'de'),)","""Name me a country where journalists and politicians get along, and I\'m telling you this isn\'t a democracy."" – Hugh Greene (1910-1987), British journalist and one of the founding fathers of German public broadcasting"
53,"Und Sie schicken wir in ein Intensivseminar für Rechtschreibung - ich kenne Institute, die auch bei schwierigen Fällen recht gute Ergebnisse erzielen …",2022-10-30 20:06:39+00:00,"((0, 155, 'GERMAN', 'de'),)",And we'll send you to an intensive spelling seminar - I know institutes that achieve quite good results even in difficult cases ...
54,Wovon träumen Sie in der Nacht?,2022-10-30 14:34:24+00:00,"((0, 32, 'GERMAN', 'de'),)",What do you dream of at night?
55,"Schon aufgefallen? 

Die meisten der sich anklebenden Klimachaoten wirken  ungepflegt - und sind es auch! Genau so, wie halt die meisten Kommunisten und Umstürzler.",2022-10-30 10:39:56+00:00,"((0, 165, 'GERMAN', 'de'),)",Have you noticed? Most of the sticky climate chaoss seem unkempt - and so are they! Just like most communists and revolutionists.
56,Also immerhin wurde von seiner Fangruppe kurze Zeit später Einiges zusammengeschlagen …,2022-10-27 14:33:09+00:00,"((0, 90, 'GERMAN', 'de'),)","So after all, some things were beaten up by his fan group a short time later ..."
57,"erwähnt in einem Artikel,  habe als BR-Kandidatin abgesagt - dabei hat Martina Bircher sich gar nicht gemeldet … fakenews bei der",2022-10-27 11:33:32+00:00,"((0, 132, 'GERMAN', 'de'),)","mentioned in an article, had canceled as a BR candidate - Martina Bircher did not even report ... fakenews at the"
58,Ich habe Mitleid mit der Tochter … aber nicht wegen des „Klimawandels“,2022-10-27 04:38:12+00:00,"((0, 76, 'GERMAN', 'de'),)","I feel sorry for the daughter ... but not for the ""climate change"""
59,Dominik Waser ist Klimachaot und besetzte widerrechtlich den Bundesplatz,2022-10-25 13:48:27+00:00,"((0, 72, 'GERMAN', 'de'),)",Dominik Waser is a climate chaos and illegally occupied the Bundesplatz
60,Gut so - hoffentlich für lange Zeit !,2022-10-24 07:23:42+00:00,"((0, 38, 'GERMAN', 'de'),)",Good so - hopefully for a long time !
61,"Dann kann mir ja nichts passieren, denn Wähler:innen gibt es ja gar nicht",2022-10-24 03:45:04+00:00,"((0, 74, 'GERMAN', 'de'),)","Then nothing can happen to me, because voters: there is no"
62,Dafür muss ich Sie nun wirklich in aller Form um Entschuldigung bitten - da waren echt nicht Sie gemeint!,2022-10-23 19:10:05+00:00,"((0, 106, 'GERMAN', 'de'),)",For this I really have to apologize to you in all form - you were really not meant!
63,"Sie würden wohl besser zu den Gerichtsterminen erscheinen, statt hier solchen Schrott zu schreiben!",2022-10-23 17:12:00+00:00,"((0, 100, 'GERMAN', 'de'),)",I think you'd better come to the court dates instead of writing such junk here!
64,"Ich erhol mich kaum vor Lachen - klebt sich am Boden fest und vergisst, dass auch er als Uni-Professor ab und zu mal ein menschliches Bedürfnis hat 🤣 you made my day !",2022-10-23 09:40:31+00:00,"((0, 171, 'GERMAN', 'de'),)","I hardly recover from laughter - stuck to the ground and forgets that he, too, as a university professor, sometimes has a human need -- you made my day!"
65,"Ich hoffe, die Uni Kiel schmeisst ihn am Montag raus!",2022-10-23 09:38:23+00:00,"((0, 53, 'GERMAN', 'de'),)",I hope the University of Kiel throws him out on Monday!
66,Neutralität geht anders - wer stoppt   ?,2022-10-21 11:10:49+00:00,"((0, 41, 'GERMAN', 'de'),)",Neutrality goes differently - who stops ?
67,Neutralität geht anders - wer stoppt   ?,2022-10-21 10:05:58+00:00,"((0, 41, 'GERMAN', 'de'),)",Neutrality goes differently - who stops ?
68,"… auf diese Bewegung Richtung Abgrund und Armut können wir gerne verzichten! Gebt endlich zu, dass die Energiestrategie kläglich gescheitert ist!",2022-10-18 15:39:03+00:00,"((0, 149, 'GERMAN', 'de'),)",... we can do without this movement towards abyss and poverty! Finally admit that the energy strategy failed miserably!
69,"Diese Klimachaoten gehören endlich gestoppt! Egal ob „er“, „sie“, „es“ oder „noch nicht ganz im Klaren“",2022-10-17 12:32:45+00:00,"((0, 120, 'GERMAN', 'de'),)","These climate chaoss are finally stopped! No matter if ""he,"" ""they,"" ""it,"" or ""not quite clear."""
70,Ab einer gewissen Minustemperatur leider nicht mehr … aber das muss man wohl als linksverblendeter Fanatiker nicht wissen,2022-10-17 06:08:12+00:00,"((0, 123, 'GERMAN', 'de'),)",At a certain minus temperature unfortunately no more ... but you don't have to know that as a left-over fanatic
71,"Ich gebe Ihnen 1 Tag Zeit, zu beweisen, wann und wo ich als Rassist verurteilt worden bin - oder diesen Post zu löschen - anschliessend werde ich Strafanzeige gegen Sie einreichen!",2022-10-16 19:45:38+00:00,"((0, 181, 'GERMAN', 'de'),)",I'll give you one day to prove when and where I've been convicted as a racist - or to delete this post - then I'll file a lawsuit against you!
72,Es kommt noch schlimmer: Auf Anraten des Bundes werden Öl- und Gasheizungen durch Wärmepumpen ersetzt .. aber die neuen Wärmepumpen werden diesen Winter voraussichtlich durch Strom aus Öl- oder Gasturbinen betrieben …,2022-10-16 19:30:49+00:00,"((0, 223, 'GERMAN', 'de'),)","It gets even worse: On the advice of the federal government, oil and gas heaters are replaced by heat pumps .. but the new heat pumps are expected to be powered by electricity from oil or gas turbines this winter ..."
73,"Rausschmeissen - damit sie sich in der Privatwirtschaft bewähren muss und die Sorgen und Nöte der Leute kennenlernt, denen sie mit ihren hirnverbrannten Aktionen das Leben schwer macht!",2022-10-16 12:00:55+00:00,"((0, 187, 'GERMAN', 'de'),)",Throwing out - so that she has to prove herself in the private sector and get to know the worries and hardships of the people who make her life difficult with her brain-burned actions!
74,"„Mit Ideologie lässt sich nicht heizen“
Liebes Deutschland, wach endlich auf!",2022-10-15 18:14:05+00:00,"((0, 82, 'GERMAN', 'de'),)","""Ideology cannot be used to heat up Dear Germany, wake up at last!"
75,Jetzt schaut Euch bitte dieses Video an und teilt es! Ein angeblich besorgter Klimachaot klebt sich fest und schmeisst das aus Kunststoff bestehende Leimfläschchen einfach in den Abfluss … 🤬🤬🤬,2022-10-12 02:38:25+00:00,"((0, 204, 'GERMAN', 'de'),)",Now please look at this video and share it! An allegedly concerned climate chaos sticks to it and simply pours the plastic glue bottle into the drain ...
76,"Schlimm ist nicht seine Ausrede, schlimm ist, dass der  diese unkritisch und ohne zu hinterfragen übernimmt!",2022-10-04 10:04:08+00:00,"((0, 109, 'GERMAN', 'de'),)","Bad is not his excuse, bad is that he takes over these uncritically and without questioning!"
77,Welchen Beigeschmack denn? Können Sie dies näher beschreiben? Oder fühlen Sie sich einfach gerade woke-mässig unwohl?,2022-10-04 07:27:22+00:00,"((0, 121, 'GERMAN', 'de'),)",What by taste? Can you describe this more closely? Or do you just feel really uncomfortable?
78,"Ach, der gute Schüpbach kriecht wieder mal aus seinem Loch …",2022-10-03 20:31:09+00:00,"((0, 63, 'GERMAN', 'de'),)","Oh, the good Schüpbach crawls out of his hole again ..."
79,Wie genau flog er weiter ? Er war 20 Minuten von der Grenze weg !,2022-10-03 19:15:22+00:00,"((0, 65, 'GERMAN', 'de'),)",How exactly did he fly on? He was 20 minutes away from the border!
80,Sie haben keine Ahnung - aber hier mal so rumposaunen … 🤮,2022-10-03 19:13:52+00:00,"((0, 62, 'GERMAN', 'de'),)",You have no idea - but here once so rumpünnen ...
81,"Sie haben keine Ahnung, wo wir waren - aber hier mal rumposaunen …",2022-10-03 19:13:07+00:00,"((0, 68, 'GERMAN', 'de'),)","You have no idea where we've been, but you've been poking around here..."
82,"Sie scheinen nicht begriffen zu haben, dass ich nie ein Flugverbot für Kurzstrecken forderte - Wermuth hingegen schon - und dabei erwähnte er explizit Budapest!",2022-10-03 19:11:56+00:00,"((0, 162, 'GERMAN', 'de'),)","They do not seem to have understood that I never called for a flight ban for short distances - Wermuth, on the other hand - and he explicitly mentioned Budapest!"
83,"Es geht nicht an, dass Wermuth die Bürger in den Zug zwingen will, aber selbst überall hin den Flieger nimmt!",2022-10-03 18:30:51+00:00,"((0, 111, 'GERMAN', 'de'),)","It's not up to Vermuth to force the citizens on the train, but even everywhere to take the plane!"
84,"Ihr dürft 3x raten, wer gestern im Flugzeug nach Budapest sass … unser lieber NR 
 Wer jetzt noch SP wählt, ist selber schuld …",2022-10-02 18:40:18+00:00,"((0, 133, 'GERMAN', 'de'),)","You can guess 3x, who sat yesterday on the plane to Budapest ... our dear NR Who now still chooses SP, is to blame ..."
85,Lieber  ich gratuliere Dir herzlich zu Deinem 60. Geburtstag!,2022-10-01 06:02:34+00:00,"((0, 61, 'GERMAN', 'de'),)",I'd rather congratulate you on your 60th birthday!
86,"Wunderbar, wie hier für das Totalversagen von Linken immer tolle Ausreden gefunden werden …",2022-09-30 10:12:42+00:00,"((0, 94, 'GERMAN', 'de'),)",Wonderful how great excuses are always found here for the total failure of the left ...
87,"Jay hat nicht gepennt 🤣 ja, und die Erde ist eine Scheibe …",2022-09-30 06:17:36+00:00,"((0, 64, 'GERMAN', 'de'),)","Jay hasn't been sleeping, yes, and the Earth is a disk..."
88,"Wer jetzt noch SP wählt, ist wirklich nicht mehr zu retten …",2022-09-29 16:28:36+00:00,"((0, 63, 'GERMAN', 'de'),)","Who now still chooses SP, is really no longer to save ..."
89,Genau das Gegenteil ist wahr: Careproduct AG war der erste Preisbrecher in diesem Markt!,2022-09-27 20:24:27+00:00,"((0, 88, 'GERMAN', 'de'),)",The exact opposite is true: Careproduct AG was the first price breaker in this market!
90,"Die „reichen, alten, weissen Männer“ zahlten der guten Dame das Studium und zahlen wohl auch weiterhin massgeblich an ihren Lebensunterhalt …",2022-09-26 19:05:45+00:00,"((0, 148, 'GERMAN', 'de'),)","The ""rich, old, white men"" paid the good lady the study and probably continue to pay a substantial living ..."
91,"Wieso behaupten Sie solchen Unsinn? Und wo sind Ihre Beweise? Es wäre Zeit, dass Sie langsam wieder die innere Ruhe finden und mit der Sache abschliessen … wenn Sie trotzdem nicht loslassen können, so ziehen Sie bitte nicht Andere mit rein!",2022-09-23 10:27:11+00:00,"((0, 244, 'GERMAN', 'de'),)","Why do you say such nonsense? And where are your proofs? It would be time for you to slowly find inner peace and conclude with the matter ... if you still can't let go, please don't drag others in with you!"
92,Die Selbstbedienung an den kranken Kassen muss nun ein Ende haben!,2022-09-16 06:23:34+00:00,"((0, 66, 'GERMAN', 'de'),)",The self-service at the sick cash registers must now have an end!
93,Unternehmerische Freiheit? Sie belieben zu scherzen?,2022-09-16 06:01:32+00:00,"((0, 52, 'GERMAN', 'de'),)",Entrepreneurial freedom? You like to joke?
94,Es gibt definitiv keinen Zusammenhang mit der Höhe der Löhne und dem Erfolg der kranken Kassen!,2022-09-15 05:59:26+00:00,"((0, 97, 'GERMAN', 'de'),)",There is definitely no connection with the level of wages and the success of the sick cash registers!
95,Wir packen überall an - leider hilft uns in diesen von Lobbyisten durchseuchten Kommissionen niemand …,2022-09-15 05:13:02+00:00,"((0, 105, 'GERMAN', 'de'),)","We tackle everywhere - unfortunately, no one helps us in these commissions that are contaminated by lobbyists ..."
96,250’000.— pro Jahr sind genug! Der Nationalrat stoppt dank der Unterstützung der SVP die Lohnexzesse der Krankenkassen-Manager! stopppraemienanstieg,2022-09-14 08:46:02+00:00,"((0, 153, 'GERMAN', 'de'),)","The National Council, thanks to the support of the SVP, is stopping the wage excesses of the health insurance managers!"
97,"Seltsam - sämtliche Fahrten mit Flixbus von und nach Kiew sind bis 22.10.22 ausgebucht … könnte es sein, dass unsere Gastfreundschaft arg strapaziert wird? Asylmissbrauch",2022-09-13 15:36:59+00:00,"((0, 174, 'GERMAN', 'de'),)",Strange - all trips by Flixbus to and from Kiev are fully booked until 22.10.22 ... could it be that our hospitality is badly damaged? Abuse of asylum
98,"von  schreibt: Der  verlangt, dass ich die «Unabhängigkeit und das Ansehen» des Journalismus verteidige.  Im Ernst jetzt? Ein Journalist von Watson? You made my day 🤣",2022-09-06 14:57:27+00:00,"((0, 172, 'GERMAN', 'de'),)",of writes: He demands that I defend the «independence and prestige» of journalism. Seriously now? A journalist of Watson? You made my day 
99,"schreibt: Der  verlangt, dass ich die «Unabhängigkeit und das Ansehen» des Journalismus verteidige. 

Das schreibt ausgerechnet ein Journi von   der Mann beliebt wohl zu scherzen?",2022-09-06 04:53:45+00:00,"((0, 182, 'GERMAN', 'de'),)",writes: He demands that I defend the «independence and prestige» of journalism. This is what a Journi of the man would like to joke about?
100,Ansehen des Journalismus verteidigen? Als watson-Journalist? Sie belieben zu scherzen?,2022-09-05 19:50:28+00:00,"((0, 86, 'GERMAN', 'de'),)",Defend the reputation of journalism as a watson journalist?
101,Wieso schwärzen Sie? Und haben Sie echt Kolleg:innen ? Nicht einfach Kollegen und Kolleginnen?,2022-09-05 19:49:09+00:00,"((0, 95, 'GERMAN', 'de'),)",Why are you blacking out? And do you really have colleagues? Not just colleagues?
102,"Denn zum Glück habe ich einen Screenshot der Homepage der Vereinigung Bahnhofstrasse - dort stand bis heute eindeutig, dass die Beleuchtung 3000 Watt in 6 Wochen brauche … 

Als ehemaliger Fachlehrer kenne ich den Unterschied zwischen Watt, Kilowatt und Kilowattstunden!",2022-09-05 17:03:55+00:00,"((0, 273, 'GERMAN', 'de'),)","Fortunately I have a screenshot of the homepage of the association Bahnhofstrasse - there it was clear to this day that the lighting needs 3000 watts in 6 weeks ... As a former specialist teacher I know the difference between watts, kilowatts and kilowatts hours!"
103,"Für die unseriösen Journis bei  : Nicht ich habe den Fehler gemacht, sondern die Vereinigung Bahnhofstraße Zürich - hier der Screenshot der Homepage von gestern:",2022-09-05 16:30:26+00:00,"((0, 165, 'GERMAN', 'de'),)","For the dubious Journis : Not I made the mistake, but the Vereinigung Bahnhofstraße Zürich - here the screenshot of the homepage of yesterday:"
104,Ich finde es auch extrem wenig - aber hier steht es so geschrieben 🤷‍,2022-09-04 20:12:12+00:00,"((0, 74, 'GERMAN', 'de'),)",I also find it extremely little - but here it is written so
105,Da scheint das Karma der Gründerin zu wirken 🤣,2022-09-04 16:40:42+00:00,"((0, 50, 'GERMAN', 'de'),)",There seems to be the Karma of the founder
106,"Es geht ja nicht gegen Tesla und für oder gegen Verbrenner, sondern um das Verhältnis und die Effizienz von Stromsparmassnahmen",2022-09-04 13:59:52+00:00,"((0, 129, 'GERMAN', 'de'),)","It is not against Tesla and for or against burners, but about the ratio and efficiency of power saving measures."
